"","elife_institution","THE_rank"
"606","China University of Petroleum (Beijing )","Standard/Unranked/Unknown"
"607","University of Münster","Proficient"
"608","The University of Western Ontario","Proficient"
"609","University of Colorado at Boulder","Proficient"
"610","Washington University, St. Louis","Proficient"
"611","Shenzhen University","Standard/Unranked/Unknown"
"612","Oakland University","Standard/Unranked/Unknown"
"613","The University of North Carolina at Chapel Hil","Proficient"
"614","George Washington University","Proficient"
"615","Kasetsart University","Standard/Unranked/Unknown"
"616","Ocean University of China","Standard/Unranked/Unknown"
"617","San Diego State University","Standard/Unranked/Unknown"
"618","Aristotle University of Thessaloniki","Standard/Unranked/Unknown"
"619","Université Libre de Bruxelles (ULB)","Standard/Unranked/Unknown"
"620","Indian Institute of Technology, Delhi","Standard/Unranked/Unknown"
"621","Louisiana Tech University","Standard/Unranked/Unknown"
"622","Technion-Israel institute of Technology","Standard/Unranked/Unknown"
"623","Kent State University","Standard/Unranked/Unknown"
"624","University Of Utah","Standard/Unranked/Unknown"
"625","University of Wurzburg","Proficient"
"626","University of South Carolina","Standard/Unranked/Unknown"
"627","Max-Planck-Institute for Molecular Physiology","Top"
"628","UC SaN Diego","Top"
"629","University Freiburg","Proficient"
"630","Royal Veterinary College","Standard/Unranked/Unknown"
"631","Northwest A&F University","Standard/Unranked/Unknown"
"632","Washington University in St. Louis/Howard Hughes Medical Institute","Proficient"
"633","University of Adelaide","Proficient"
"634","Univ. Lausanne","Proficient"
"635","Concordia University","Standard/Unranked/Unknown"
"636","ETH ZUrich","Top"
"637","Ulm University","Proficient"
"638","U. Wisconsin-Madison","Top"
"639","Indian Institute of Science Education and Research, Kolkata","Standard/Unranked/Unknown"
"640","Stanford Univ.","Top"
"641","University of Konstanz","Proficient"
"642","Pohang university of science and technology","Proficient"
"643","Pohang University of Science and Technology (POSTECH)","Proficient"
"644","Sichuan University","Standard/Unranked/Unknown"
"645","Ben Gurion University of the Negev","Standard/Unranked/Unknown"
"646","Oklahoma State University","Standard/Unranked/Unknown"
"647","Indian Institute of Technology Bombay","Standard/Unranked/Unknown"
"648","Deakin university","Standard/Unranked/Unknown"
"649","Charles University in Prague","Standard/Unranked/Unknown"
"650","Linköping University","Standard/Unranked/Unknown"
"651","U. of Virginia","Proficient"
"652","Chung-Ang University","Standard/Unranked/Unknown"
"653","UNIVERSITY OF ALABAMA","Standard/Unranked/Unknown"
"654","University of California, Los Angeles School of Medicine","Top"
"655","University of Alaska Fairbanks","Standard/Unranked/Unknown"
"656","University of Granada","Standard/Unranked/Unknown"
"657","Tianjin University","Standard/Unranked/Unknown"
"658","Kanagawa University","Standard/Unranked/Unknown"
"659","wuhan university","Standard/Unranked/Unknown"
"660","National Centre for Biological Sciences (TIFR)","Standard/Unranked/Unknown"
"661","Indian Institute of Science Education and Research-Kolkata","Standard/Unranked/Unknown"
"662","University  of Gothenburg","Standard/Unranked/Unknown"
"663","Nankai University","Standard/Unranked/Unknown"
"664","Otto von Guericke University Magdeburg","Standard/Unranked/Unknown"
"665","university of california Riverside","Standard/Unranked/Unknown"
"666","The University of Aberdeen","Proficient"
"667","Hanyang University","Standard/Unranked/Unknown"
"668","Fuzhou University","Standard/Unranked/Unknown"
"669","National Cheng Kung University","Standard/Unranked/Unknown"
"670","Ghent university","Proficient"
"671","Université LIbre de Bruxelles","Standard/Unranked/Unknown"
"672","Washington Univ School of Medicine","Top"
"673","University of California at San Diego","Top"
"674","Indian Institute of Science Education and Research Kolkata","Standard/Unranked/Unknown"
"675","Chongqing University","Standard/Unranked/Unknown"
"676","University of Innsbruck","Standard/Unranked/Unknown"
"677","Swedish university of agricultural sciences","Standard/Unranked/Unknown"
"678","Medical University of Vienna","Standard/Unranked/Unknown"
"679","University of New Mexico","Standard/Unranked/Unknown"
"680","University of Padua","Standard/Unranked/Unknown"
"681","University of East Anglia","Proficient"
"682","University of Sao Paulo","Standard/Unranked/Unknown"
"683","University of washington","Top"
"684","State University of New York (SUNY), Buffalo","Standard/Unranked/Unknown"
"685","Otto-von-Guericke-University Magdeburg","Standard/Unranked/Unknown"
"686","Université de Sherbrooke","Standard/Unranked/Unknown"
"687","Univ. of North Carolina-Chapel Hill","Proficient"
"688","Belgorod State National research university","Standard/Unranked/Unknown"
"689","University of Graz","Standard/Unranked/Unknown"
"690","fudan university","Proficient"
"691","Kaohsiung Medical University","Standard/Unranked/Unknown"
"692","University of georgia","Standard/Unranked/Unknown"
"693","Xiamen University","Standard/Unranked/Unknown"
"694","KING'S COLLEGE LONDON","Top"
"695","Jiangsu University","Standard/Unranked/Unknown"
"696","University Duisburg-Essen","Proficient"
"697","Yonsei University","Standard/Unranked/Unknown"
"698","the University of St Andrews","Proficient"
"699","Queen Mary, University of London","Proficient"
"700","University of South Florida","Standard/Unranked/Unknown"
"701","Hong Kong Polytechnic University","Proficient"
"702","Hallym University","Standard/Unranked/Unknown"
"703","Pompeu Fabra University","Proficient"
"704","University of Bologna","Proficient"
"705","Polytechnic University of Valencia","Standard/Unranked/Unknown"
"706","Barcelona Institute of Science and Technology","Standard/Unranked/Unknown"
"707","University of Pecs","Standard/Unranked/Unknown"
"708","Shandong University","Standard/Unranked/Unknown"
"709","University of Hawaii, Manoa","Standard/Unranked/Unknown"
"710","James Cook University","Standard/Unranked/Unknown"
"711","Norwegian University of Science and Technology","Standard/Unranked/Unknown"
"712","University of Jyväskylä","Standard/Unranked/Unknown"
"713","University of Nevada Las Vegas","Standard/Unranked/Unknown"
"714","National Taiwan University","Proficient"
"715","Konkuk University","Standard/Unranked/Unknown"
"716","Pusan National University","Standard/Unranked/Unknown"
"717","university of texas at austin","Top"
"718","University of Maryland Baltimore County","Standard/Unranked/Unknown"
"719","University of KwaZulu-Natal","Standard/Unranked/Unknown"
"720","Royal College of Surgeons in Ireland","Standard/Unranked/Unknown"
"721","Universidad Peruana Cayetano Heredia","Standard/Unranked/Unknown"
"722","Nagasaki University","Standard/Unranked/Unknown"
"723","huazhong agricultural univ","Standard/Unranked/Unknown"
"724","University of Bath","Standard/Unranked/Unknown"
"725","St George's University London","Standard/Unranked/Unknown"
"726","Medical University Vienna","Standard/Unranked/Unknown"
"727","University of California Santa Cruz","Proficient"
"728","St George's, University of London","Standard/Unranked/Unknown"
"729","National Tsing Hua University","Standard/Unranked/Unknown"
"730","Birla Institute of Technology and Science, Pilani, K.K. Birla Goa campus","Standard/Unranked/Unknown"
"731","University of Delhi","Standard/Unranked/Unknown"
"732","University of macau","Standard/Unranked/Unknown"
"733","Texas State University","Standard/Unranked/Unknown"
"734","university of sydney","Proficient"
"735","University of Oulu","Standard/Unranked/Unknown"
"736","Nanjing medical university","Standard/Unranked/Unknown"
"737","Sejong University","Standard/Unranked/Unknown"
"738","Aston University","Standard/Unranked/Unknown"
"739","Lehigh University","Standard/Unranked/Unknown"
"740","Laval University","Standard/Unranked/Unknown"
"741","Czech University of Life Sciences","Standard/Unranked/Unknown"
"742","Heriot-Watt university","Standard/Unranked/Unknown"
"743","University of Crete","Standard/Unranked/Unknown"
"744","Indian Institute of Science Education and Research, Pune, India","Standard/Unranked/Unknown"
"745","University of Navarra","Standard/Unranked/Unknown"
"746","Shanghai University","Standard/Unranked/Unknown"
"747","Bar-Ilan university","Standard/Unranked/Unknown"
"748","Korea University","Proficient"
"749","Vrije Universiteit Brussel","Standard/Unranked/Unknown"
"750","The Hong Kong Polytechnic University","Proficient"
"751","Stellenbosch University","Standard/Unranked/Unknown"
"752","Liverpool John moores University","Standard/Unranked/Unknown"
"753","Chang Gung University","Standard/Unranked/Unknown"
"754","University of toronto","Top"
"755","University of dundee","Standard/Unranked/Unknown"
"756","Stanford university","Top"
"757","Icahn School of Medicine of Mount Sinai","Proficient"
"758","University of Tartu","Standard/Unranked/Unknown"
"759","Jinan University","Standard/Unranked/Unknown"
"760","Sharif University of Technology","Standard/Unranked/Unknown"
"761","Indian Institute of Technology Hyderabad","Standard/Unranked/Unknown"
"762","University Santiago de Compostela","Standard/Unranked/Unknown"
"763","University of Salamanca","Standard/Unranked/Unknown"
"764","University of California, San Diego Moores Cancer Center","Top"
"765","LMU  Munich","Top"
"766","Saitama University","Standard/Unranked/Unknown"
"767","University of Cyprus","Standard/Unranked/Unknown"
"768","Aberystwyth University","Standard/Unranked/Unknown"
"769","City University of Hong Kong","Proficient"
"770","University of Wisconsin--Madison","Top"
"771","Murdoch University","Standard/Unranked/Unknown"
"772","Sun Yat-sen University Cancer Center","Standard/Unranked/Unknown"
"773","KAIST","Proficient"
"774","University of Waterloo","Standard/Unranked/Unknown"
"775","RWTH Aachen University","Proficient"
"776","Juntendo University","Standard/Unranked/Unknown"
"777","National University, Singapore","Top"
"778","University of Minnesota-Twin Cities","Proficient"
"779","the University of Chicago","Top"
"780","Max Planck Institute for Molecular Genetics MPIMG","Top"
"781","Shanghai Jiao Tong University Affiliated Sixth People's Hospital","Proficient"
"782","New Mexico State University","Standard/Unranked/Unknown"
"783","Technion, Israel Institute of Technology","Standard/Unranked/Unknown"
"784","Otto-von-Guericke University","Standard/Unranked/Unknown"
"785","University of Trieste","Standard/Unranked/Unknown"
"786","Sun Yat-Sen University","Standard/Unranked/Unknown"
"787","Indian Institute of Technology  Guwahati","Standard/Unranked/Unknown"
"788","East Carolina University","Standard/Unranked/Unknown"
"789","The University of New South Wales","Proficient"
"790","University of Wisconsin-Milwaukee","Standard/Unranked/Unknown"
"791","University of Westminster","Standard/Unranked/Unknown"
"792","University Tübingen","Proficient"
"793","U Chicago","Top"
"794","University Debrecen","Standard/Unranked/Unknown"
"795","the University of Hong Kong","Top"
"796","Wuhan Univ","Standard/Unranked/Unknown"
